,,lls_matern,lls_rbf,gp_extra_matern,kriging
2014-05-02 01:00:00,0,35.83255365528075,51.00394993943586,23.701604185042697,19.155391208369398
2014-05-02 02:00:00,0,7.5340140881721585,14.448073681684079,22.811836793369597,6.567550231964933
2014-05-02 03:00:00,0,7.049602462009021,7.38315057479929,9.46250964736636,6.226647080675579
2014-05-08 13:00:00,0,34.4539039503741,41.358230611880494,35.212349170871484,31.884387990533273
2014-05-01 02:00:00,1,13.958859583532801,54.084870437141845,23.38576667177017,13.986155200612073
2014-05-01 03:00:00,1,23.81609624734719,47.04348762144655,21.543175115414623,11.897964987259448
2014-05-01 04:00:00,1,21.96115960936041,54.75859439307313,22.75453436761816,10.680595753149598
2014-05-01 05:00:00,1,31.753238539799888,16.472192520066287,38.219486501606916,14.330362954762982
2014-05-01 06:00:00,1,38.40388261998378,31.662710605830586,25.97884115921717,15.487537893240829
2014-05-01 07:00:00,1,47.18141491232407,33.21358719111854,14.888391388098357,11.627437469977016
2014-05-01 08:00:00,1,32.14524267185436,41.68322301456009,24.42011443615659,10.452507303542506
2014-05-01 09:00:00,1,34.7265743492466,29.39453658020493,23.938919301797284,13.518088104261963
2014-05-01 12:00:00,1,86.60010969609996,147.36273452258266,37.03317187411497,33.85376139358555
2014-05-01 13:00:00,1,25.166872969669253,,28.32353293494553,18.558944342337746
2014-05-01 14:00:00,1,23.768566178980638,85.64476408162413,24.04771373945218,18.99895573050899
2014-05-01 15:00:00,1,,36.030808760579504,50.769491356080415,22.226217189675523
2014-05-01 16:00:00,1,113.23170972661029,29.188683158341096,23.923862521567177,16.003571176175683
2014-05-01 17:00:00,1,83.34669665810895,128.35140962960736,42.732080832034256,26.514200490444317
2014-05-01 18:00:00,1,43.8408515965289,62.77024594003908,56.220307396587145,32.1447663002376
2014-05-01 19:00:00,1,68.25844558949542,25.042484600855285,84.94128713367996,44.960304851565176
2014-05-01 21:00:00,1,92.13390418395181,44.78844467989691,67.94819230812803,28.041030343338782
2014-05-01 22:00:00,1,28.783590470705118,,45.311447986674075,19.827029810615997
2014-05-01 23:00:00,1,12.951009807502224,11.168012699875366,25.023988004354262,10.797376224496992
2014-05-02 00:00:00,1,10.63069536079192,9.475934799283488,18.955059130454547,10.459504508718462
2014-05-02 01:00:00,1,65.13352642600768,62.099114302465345,57.294318077051905,54.333276528029195
2014-05-02 02:00:00,1,15.400631987202011,29.433442509515274,18.528056808789916,13.35727018019396
2014-05-02 03:00:00,1,6.16787618724042,7.8506698239279595,12.946504932037298,5.885743394729943
2014-05-08 13:00:00,1,37.774800069852084,76.67322939874236,22.361163753628475,13.652544645912746
2014-05-01 02:00:00,2,15.802284646101013,18.3788506722473,22.102057615520895,16.523984344473103
2014-05-01 03:00:00,2,15.515872024878455,14.50280680865498,21.66738508806273,15.35749775687849
2014-05-01 04:00:00,2,15.537991635017558,24.443017725280026,25.438775308001603,16.930041196275454
2014-05-01 05:00:00,2,20.952641417174156,43.90937235589153,26.099513491247745,22.41301551145618
2014-05-01 06:00:00,2,18.670138939331103,45.006354945695385,12.396792455028825,22.21771812159704
2014-05-01 07:00:00,2,21.317634814999934,63.19085225861048,14.763566889531097,21.91413960563225
2014-05-01 08:00:00,2,37.52870846863286,24.799407394364508,30.67650902339342,21.84734740898548
2014-05-01 09:00:00,2,23.65510533995756,27.47229919762039,25.799068265585927,22.52378811192287
2014-05-01 12:00:00,2,51.479126564860245,109.63020790326355,49.44928094016122,25.565275929145272
2014-05-01 13:00:00,2,30.84033134594398,26.201944239585078,31.563953327635843,26.315644231351538
2014-05-01 14:00:00,2,22.95867857076611,23.313064531530387,29.329808891306516,28.329461437379372
2014-05-01 15:00:00,2,46.938447688106436,39.04739420862712,48.239280657046756,28.823337826832415
2014-05-01 16:00:00,2,29.513109640868596,44.29755577710813,32.23596360588118,18.435701882626063
2014-05-01 17:00:00,2,36.4684418098849,66.22525493827389,41.54156203588195,34.28237091768617
2014-05-01 18:00:00,2,63.55270905764969,56.10944498916234,45.81735420793551,33.8792962717614
2014-05-01 19:00:00,2,71.3647775257762,62.5253095858613,69.5942371407701,45.955728830535044
2014-05-01 21:00:00,2,176.5152564957127,46.279302711486025,46.82163513987597,30.771609891399027
2014-05-01 22:00:00,2,51.217431084091196,31.591461120661833,43.980729681803545,34.07118546531771
2014-05-01 23:00:00,2,29.25653853205389,23.295355159403446,18.667779932945056,12.779106211136341
